Cd69	Trac
Hdgf	Gm45442
Plxnd1	Gm45442
Stmn1	Lmnb1
Gm45442	Dnmt1
Gm45442	Tubb5
Fmr1nb	Sidt1
2310001H17Rik	Klf1
Lmnb1	Tcf19
Lmnb1	Sirpa
Tcf19	Tubb5
Gm49761	Lsp1
Klf1	Lsp1
Atxn1	Rpsa
Sirpa	Tubb5
Rpsa	Sidt1
