	Source	Target	Weight
0	FDC	FDC	10
1	B_GC_LZ	FDC	0
2	T_CD4+_TfH_GC	FDC	0
3	B_GC_prePB	FDC	0
4	B_Cycling	FDC	0
5	B_GC_DZ	FDC	0
6	FDC	B_GC_LZ	0
7	B_GC_LZ	B_GC_LZ	6
8	T_CD4+_TfH_GC	B_GC_LZ	0
9	B_GC_prePB	B_GC_LZ	0
10	B_Cycling	B_GC_LZ	0
11	B_GC_DZ	B_GC_LZ	0
12	FDC	T_CD4+_TfH_GC	0
13	B_GC_LZ	T_CD4+_TfH_GC	0
14	T_CD4+_TfH_GC	T_CD4+_TfH_GC	8
15	B_GC_prePB	T_CD4+_TfH_GC	0
16	B_Cycling	T_CD4+_TfH_GC	0
17	B_GC_DZ	T_CD4+_TfH_GC	0
18	FDC	B_GC_prePB	0
19	B_GC_LZ	B_GC_prePB	0
20	T_CD4+_TfH_GC	B_GC_prePB	0
21	B_GC_prePB	B_GC_prePB	2
22	B_Cycling	B_GC_prePB	0
23	B_GC_DZ	B_GC_prePB	0
24	FDC	B_Cycling	0
25	B_GC_LZ	B_Cycling	0
26	T_CD4+_TfH_GC	B_Cycling	0
27	B_GC_prePB	B_Cycling	0
28	B_Cycling	B_Cycling	51
29	B_GC_DZ	B_Cycling	0
30	FDC	B_GC_DZ	0
31	B_GC_LZ	B_GC_DZ	0
32	T_CD4+_TfH_GC	B_GC_DZ	0
33	B_GC_prePB	B_GC_DZ	0
34	B_Cycling	B_GC_DZ	0
35	B_GC_DZ	B_GC_DZ	3
