,1,2,3,4
0,DC_CCR7+,DC_CCR7+,10,intercellular
1,T_TfR,DC_CCR7+,11,intercellular
2,T_Treg,DC_CCR7+,17,intercellular
3,T_CD4+_naive,DC_CCR7+,13,intercellular
4,T_CD8+_naive,DC_CCR7+,13,intercellular
5,T_TIM3+,DC_CCR7+,9,intercellular
6,T_CD8+_cytotoxic,DC_CCR7+,13,intercellular
7,T_CD4+_TfH,DC_CCR7+,18,intercellular
8,T_CD8+_CD161+,DC_CCR7+,14,intercellular
9,DC_CCR7+,T_TfR,10,intercellular
10,T_TfR,T_TfR,125,intercellular
11,T_Treg,T_TfR,130,intercellular
12,T_CD4+_naive,T_TfR,118,intercellular
13,T_CD8+_naive,T_TfR,117,intercellular
14,T_TIM3+,T_TfR,102,intercellular
15,T_CD8+_cytotoxic,T_TfR,135,intercellular
16,T_CD4+_TfH,T_TfR,129,intercellular
17,T_CD8+_CD161+,T_TfR,124,intercellular
18,DC_CCR7+,T_Treg,13,intercellular
19,T_TfR,T_Treg,140,intercellular
20,T_Treg,T_Treg,154,intercellular
21,T_CD4+_naive,T_Treg,143,intercellular
22,T_CD8+_naive,T_Treg,142,intercellular
23,T_TIM3+,T_Treg,115,intercellular
24,T_CD8+_cytotoxic,T_Treg,151,intercellular
25,T_CD4+_TfH,T_Treg,151,intercellular
26,T_CD8+_CD161+,T_Treg,144,intercellular
27,DC_CCR7+,T_CD4+_naive,9,intercellular
28,T_TfR,T_CD4+_naive,117,intercellular
29,T_Treg,T_CD4+_naive,131,intercellular
30,T_CD4+_naive,T_CD4+_naive,122,intercellular
31,T_CD8+_naive,T_CD4+_naive,121,intercellular
32,T_TIM3+,T_CD4+_naive,96,intercellular
33,T_CD8+_cytotoxic,T_CD4+_naive,126,intercellular
34,T_CD4+_TfH,T_CD4+_naive,129,intercellular
35,T_CD8+_CD161+,T_CD4+_naive,124,intercellular
36,DC_CCR7+,T_CD8+_naive,7,intercellular
37,T_TfR,T_CD8+_naive,123,intercellular
38,T_Treg,T_CD8+_naive,138,intercellular
39,T_CD4+_naive,T_CD8+_naive,130,intercellular
40,T_CD8+_naive,T_CD8+_naive,129,intercellular
41,T_TIM3+,T_CD8+_naive,102,intercellular
42,T_CD8+_cytotoxic,T_CD8+_naive,136,intercellular
43,T_CD4+_TfH,T_CD8+_naive,136,intercellular
44,T_CD8+_CD161+,T_CD8+_naive,133,intercellular
45,DC_CCR7+,T_TIM3+,6,intercellular
46,T_TfR,T_TIM3+,104,intercellular
47,T_Treg,T_TIM3+,110,intercellular
48,T_CD4+_naive,T_TIM3+,104,intercellular
49,T_CD8+_naive,T_TIM3+,102,intercellular
50,T_TIM3+,T_TIM3+,84,intercellular
51,T_CD8+_cytotoxic,T_TIM3+,113,intercellular
52,T_CD4+_TfH,T_TIM3+,108,intercellular
53,T_CD8+_CD161+,T_TIM3+,106,intercellular
54,DC_CCR7+,T_CD8+_cytotoxic,16,intercellular
55,T_TfR,T_CD8+_cytotoxic,140,intercellular
56,T_Treg,T_CD8+_cytotoxic,159,intercellular
