,1,2,3,4
264,DC_cDC2,B_preGC,0,intracellular
265,VSMC,B_preGC,0,intracellular
266,T_CD4+,B_preGC,0,intracellular
267,ILC,B_preGC,0,intracellular
268,B_activated,B_preGC,0,intracellular
269,Macrophages_M2,B_preGC,0,intracellular
270,DC_pDC,B_preGC,0,intracellular
271,NK,B_preGC,0,intracellular
272,B_preGC,B_mem,0,intracellular
273,B_mem,B_mem,7,intracellular
274,Macrophages_M1,B_mem,0,intracellular
275,DC_cDC1,B_mem,0,intracellular
276,NKT,B_mem,0,intracellular
277,Mast,B_mem,0,intracellular
278,Monocytes,B_mem,0,intracellular
279,Endo,B_mem,0,intracellular
280,DC_cDC2,B_mem,0,intracellular
281,VSMC,B_mem,0,intracellular
282,T_CD4+,B_mem,0,intracellular
283,ILC,B_mem,0,intracellular
284,B_activated,B_mem,0,intracellular
285,Macrophages_M2,B_mem,0,intracellular
286,DC_pDC,B_mem,0,intracellular
287,NK,B_mem,0,intracellular
288,B_preGC,Macrophages_M1,0,intracellular
289,B_mem,Macrophages_M1,0,intracellular
290,Macrophages_M1,Macrophages_M1,1,intracellular
291,DC_cDC1,Macrophages_M1,0,intracellular
292,NKT,Macrophages_M1,0,intracellular
293,Mast,Macrophages_M1,0,intracellular
294,Monocytes,Macrophages_M1,0,intracellular
295,Endo,Macrophages_M1,0,intracellular
296,DC_cDC2,Macrophages_M1,0,intracellular
297,VSMC,Macrophages_M1,0,intracellular
298,T_CD4+,Macrophages_M1,0,intracellular
299,ILC,Macrophages_M1,0,intracellular
300,B_activated,Macrophages_M1,0,intracellular
301,Macrophages_M2,Macrophages_M1,0,intracellular
302,DC_pDC,Macrophages_M1,0,intracellular
303,NK,Macrophages_M1,0,intracellular
304,B_preGC,DC_cDC1,0,intracellular
305,B_mem,DC_cDC1,0,intracellular
306,Macrophages_M1,DC_cDC1,0,intracellular
307,DC_cDC1,DC_cDC1,0,intracellular
308,NKT,DC_cDC1,0,intracellular
309,Mast,DC_cDC1,0,intracellular
310,Monocytes,DC_cDC1,0,intracellular
311,Endo,DC_cDC1,0,intracellular
312,DC_cDC2,DC_cDC1,0,intracellular
313,VSMC,DC_cDC1,0,intracellular
314,T_CD4+,DC_cDC1,0,intracellular
315,ILC,DC_cDC1,0,intracellular
316,B_activated,DC_cDC1,0,intracellular
317,Macrophages_M2,DC_cDC1,0,intracellular
318,DC_pDC,DC_cDC1,0,intracellular
319,NK,DC_cDC1,0,intracellular
320,B_preGC,NKT,0,intracellular
321,B_mem,NKT,0,intracellular
322,Macrophages_M1,NKT,0,intracellular
323,DC_cDC1,NKT,0,intracellular
324,NKT,NKT,39,intracellular
325,Mast,NKT,0,intracellular
326,Monocytes,NKT,0,intracellular
327,Endo,NKT,0,intracellular
328,DC_cDC2,NKT,0,intracellular
329,VSMC,NKT,0,intracellular
330,T_CD4+,NKT,0,intracellular
331,ILC,NKT,0,intracellular
332,B_activated,NKT,0,intracellular
333,Macrophages_M2,NKT,0,intracellular
334,DC_pDC,NKT,0,intracellular
335,NK,NKT,0,intracellular
336,B_preGC,Mast,0,intracellular
337,B_mem,Mast,0,intracellular
338,Macrophages_M1,Mast,0,intracellular
339,DC_cDC1,Mast,0,intracellular
340,NKT,Mast,0,intracellular
341,Mast,Mast,19,intracellular
342,Monocytes,Mast,0,intracellular
343,Endo,Mast,0,intracellular
344,DC_cDC2,Mast,0,intracellular
345,VSMC,Mast,0,intracellular
346,T_CD4+,Mast,0,intracellular
347,ILC,Mast,0,intracellular
348,B_activated,Mast,0,intracellular
349,Macrophages_M2,Mast,0,intracellular
350,DC_pDC,Mast,0,intracellular
351,NK,Mast,0,intracellular
352,B_preGC,Monocytes,0,intracellular
353,B_mem,Monocytes,0,intracellular
354,Macrophages_M1,Monocytes,0,intracellular
355,DC_cDC1,Monocytes,0,intracellular
356,NKT,Monocytes,0,intracellular
357,Mast,Monocytes,0,intracellular
358,Monocytes,Monocytes,80,intracellular
359,Endo,Monocytes,0,intracellular
360,DC_cDC2,Monocytes,0,intracellular
361,VSMC,Monocytes,0,intracellular
362,T_CD4+,Monocytes,0,intracellular
363,ILC,Monocytes,0,intracellular
364,B_activated,Monocytes,0,intracellular
365,Macrophages_M2,Monocytes,0,intracellular
366,DC_pDC,Monocytes,0,intracellular
367,NK,Monocytes,0,intracellular
368,B_preGC,Endo,0,intracellular
369,B_mem,Endo,0,intracellular
370,Macrophages_M1,Endo,0,intracellular
371,DC_cDC1,Endo,0,intracellular
372,NKT,Endo,0,intracellular
373,Mast,Endo,0,intracellular
374,Monocytes,Endo,0,intracellular
375,Endo,Endo,52,intracellular
376,DC_cDC2,Endo,0,intracellular
377,VSMC,Endo,0,intracellular
378,T_CD4+,Endo,0,intracellular
379,ILC,Endo,0,intracellular
380,B_activated,Endo,0,intracellular
381,Macrophages_M2,Endo,0,intracellular
382,DC_pDC,Endo,0,intracellular
383,NK,Endo,0,intracellular
384,B_preGC,DC_cDC2,0,intracellular
385,B_mem,DC_cDC2,0,intracellular
386,Macrophages_M1,DC_cDC2,0,intracellular
387,DC_cDC1,DC_cDC2,0,intracellular
388,NKT,DC_cDC2,0,intracellular
389,Mast,DC_cDC2,0,intracellular
390,Monocytes,DC_cDC2,0,intracellular
391,Endo,DC_cDC2,0,intracellular
392,DC_cDC2,DC_cDC2,14,intracellular
393,VSMC,DC_cDC2,0,intracellular
394,T_CD4+,DC_cDC2,0,intracellular
395,ILC,DC_cDC2,0,intracellular
396,B_activated,DC_cDC2,0,intracellular
397,Macrophages_M2,DC_cDC2,0,intracellular
398,DC_pDC,DC_cDC2,0,intracellular
399,NK,DC_cDC2,0,intracellular
400,B_preGC,VSMC,0,intracellular
401,B_mem,VSMC,0,intracellular
402,Macrophages_M1,VSMC,0,intracellular
403,DC_cDC1,VSMC,0,intracellular
404,NKT,VSMC,0,intracellular
405,Mast,VSMC,0,intracellular
406,Monocytes,VSMC,0,intracellular
407,Endo,VSMC,0,intracellular
408,DC_cDC2,VSMC,0,intracellular
409,VSMC,VSMC,115,intracellular
410,T_CD4+,VSMC,0,intracellular
411,ILC,VSMC,0,intracellular
412,B_activated,VSMC,0,intracellular
413,Macrophages_M2,VSMC,0,intracellular
414,DC_pDC,VSMC,0,intracellular
415,NK,VSMC,0,intracellular
416,B_preGC,T_CD4+,0,intracellular
417,B_mem,T_CD4+,0,intracellular
418,Macrophages_M1,T_CD4+,0,intracellular
419,DC_cDC1,T_CD4+,0,intracellular
420,NKT,T_CD4+,0,intracellular
421,Mast,T_CD4+,0,intracellular
422,Monocytes,T_CD4+,0,intracellular
423,Endo,T_CD4+,0,intracellular
424,DC_cDC2,T_CD4+,0,intracellular
425,VSMC,T_CD4+,0,intracellular
426,T_CD4+,T_CD4+,21,intracellular
427,ILC,T_CD4+,0,intracellular
428,B_activated,T_CD4+,0,intracellular
429,Macrophages_M2,T_CD4+,0,intracellular
430,DC_pDC,T_CD4+,0,intracellular
431,NK,T_CD4+,0,intracellular
432,B_preGC,ILC,0,intracellular
433,B_mem,ILC,0,intracellular
434,Macrophages_M1,ILC,0,intracellular
435,DC_cDC1,ILC,0,intracellular
436,NKT,ILC,0,intracellular
437,Mast,ILC,0,intracellular
438,Monocytes,ILC,0,intracellular
439,Endo,ILC,0,intracellular
440,DC_cDC2,ILC,0,intracellular
441,VSMC,ILC,0,intracellular
442,T_CD4+,ILC,0,intracellular
443,ILC,ILC,69,intracellular
444,B_activated,ILC,0,intracellular
445,Macrophages_M2,ILC,0,intracellular
446,DC_pDC,ILC,0,intracellular
447,NK,ILC,0,intracellular
448,B_preGC,B_activated,0,intracellular
449,B_mem,B_activated,0,intracellular
450,Macrophages_M1,B_activated,0,intracellular
451,DC_cDC1,B_activated,0,intracellular
452,NKT,B_activated,0,intracellular
453,Mast,B_activated,0,intracellular
454,Monocytes,B_activated,0,intracellular
455,Endo,B_activated,0,intracellular
456,DC_cDC2,B_activated,0,intracellular
457,VSMC,B_activated,0,intracellular
458,T_CD4+,B_activated,0,intracellular
459,ILC,B_activated,0,intracellular
460,B_activated,B_activated,34,intracellular
461,Macrophages_M2,B_activated,0,intracellular
462,DC_pDC,B_activated,0,intracellular
463,NK,B_activated,0,intracellular
464,B_preGC,Macrophages_M2,0,intracellular
465,B_mem,Macrophages_M2,0,intracellular
466,Macrophages_M1,Macrophages_M2,0,intracellular
467,DC_cDC1,Macrophages_M2,0,intracellular
468,NKT,Macrophages_M2,0,intracellular
469,Mast,Macrophages_M2,0,intracellular
470,Monocytes,Macrophages_M2,0,intracellular
471,Endo,Macrophages_M2,0,intracellular
472,DC_cDC2,Macrophages_M2,0,intracellular
473,VSMC,Macrophages_M2,0,intracellular
474,T_CD4+,Macrophages_M2,0,intracellular
475,ILC,Macrophages_M2,0,intracellular
476,B_activated,Macrophages_M2,0,intracellular
477,Macrophages_M2,Macrophages_M2,24,intracellular
478,DC_pDC,Macrophages_M2,0,intracellular
479,NK,Macrophages_M2,0,intracellular
480,B_preGC,DC_pDC,0,intracellular
481,B_mem,DC_pDC,0,intracellular
482,Macrophages_M1,DC_pDC,0,intracellular
483,DC_cDC1,DC_pDC,0,intracellular
484,NKT,DC_pDC,0,intracellular
485,Mast,DC_pDC,0,intracellular
486,Monocytes,DC_pDC,0,intracellular
487,Endo,DC_pDC,0,intracellular
488,DC_cDC2,DC_pDC,0,intracellular
489,VSMC,DC_pDC,0,intracellular
490,T_CD4+,DC_pDC,0,intracellular
491,ILC,DC_pDC,0,intracellular
492,B_activated,DC_pDC,0,intracellular
493,Macrophages_M2,DC_pDC,0,intracellular
494,DC_pDC,DC_pDC,1,intracellular
495,NK,DC_pDC,0,intracellular
496,B_preGC,NK,0,intracellular
497,B_mem,NK,0,intracellular
498,Macrophages_M1,NK,0,intracellular
499,DC_cDC1,NK,0,intracellular
500,NKT,NK,0,intracellular
501,Mast,NK,0,intracellular
502,Monocytes,NK,0,intracellular
503,Endo,NK,0,intracellular
504,DC_cDC2,NK,0,intracellular
505,VSMC,NK,0,intracellular
506,T_CD4+,NK,0,intracellular
507,ILC,NK,0,intracellular
508,B_activated,NK,0,intracellular
509,Macrophages_M2,NK,0,intracellular
510,DC_pDC,NK,0,intracellular
511,NK,NK,47,intracellular
