,1,2,3,4
0,B_preGC,B_preGC,13,intercellular
1,B_mem,B_preGC,14,intercellular
2,Macrophages_M1,B_preGC,29,intercellular
3,DC_cDC1,B_preGC,14,intercellular
4,NKT,B_preGC,14,intercellular
5,Mast,B_preGC,14,intercellular
6,Monocytes,B_preGC,32,intercellular
7,Endo,B_preGC,21,intercellular
8,DC_cDC2,B_preGC,34,intercellular
9,VSMC,B_preGC,26,intercellular
10,T_CD4+,B_preGC,9,intercellular
11,ILC,B_preGC,19,intercellular
12,B_activated,B_preGC,10,intercellular
13,Macrophages_M2,B_preGC,30,intercellular
14,DC_pDC,B_preGC,18,intercellular
15,NK,B_preGC,21,intercellular
16,B_preGC,B_mem,15,intercellular
17,B_mem,B_mem,17,intercellular
18,Macrophages_M1,B_mem,30,intercellular
19,DC_cDC1,B_mem,14,intercellular
20,NKT,B_mem,19,intercellular
21,Mast,B_mem,14,intercellular
22,Monocytes,B_mem,35,intercellular
23,Endo,B_mem,26,intercellular
24,DC_cDC2,B_mem,38,intercellular
25,VSMC,B_mem,34,intercellular
26,T_CD4+,B_mem,14,intercellular
27,ILC,B_mem,28,intercellular
28,B_activated,B_mem,17,intercellular
29,Macrophages_M2,B_mem,30,intercellular
30,DC_pDC,B_mem,20,intercellular
31,NK,B_mem,27,intercellular
32,B_preGC,Macrophages_M1,11,intercellular
33,B_mem,Macrophages_M1,12,intercellular
34,Macrophages_M1,Macrophages_M1,51,intercellular
35,DC_cDC1,Macrophages_M1,11,intercellular
36,NKT,Macrophages_M1,23,intercellular
37,Mast,Macrophages_M1,20,intercellular
38,Monocytes,Macrophages_M1,54,intercellular
39,Endo,Macrophages_M1,60,intercellular
40,DC_cDC2,Macrophages_M1,38,intercellular
41,VSMC,Macrophages_M1,59,intercellular
42,T_CD4+,Macrophages_M1,24,intercellular
43,ILC,Macrophages_M1,50,intercellular
44,B_activated,Macrophages_M1,10,intercellular
45,Macrophages_M2,Macrophages_M1,46,intercellular
46,DC_pDC,Macrophages_M1,19,intercellular
47,NK,Macrophages_M1,27,intercellular
48,B_preGC,DC_cDC1,2,intercellular
49,B_mem,DC_cDC1,5,intercellular
50,Macrophages_M1,DC_cDC1,12,intercellular
51,DC_cDC1,DC_cDC1,2,intercellular
52,NKT,DC_cDC1,7,intercellular
53,Mast,DC_cDC1,6,intercellular
54,Monocytes,DC_cDC1,12,intercellular
55,Endo,DC_cDC1,17,intercellular
56,DC_cDC2,DC_cDC1,10,intercellular
57,VSMC,DC_cDC1,16,intercellular
58,T_CD4+,DC_cDC1,6,intercellular
59,ILC,DC_cDC1,9,intercellular
60,B_activated,DC_cDC1,2,intercellular
61,Macrophages_M2,DC_cDC1,14,intercellular
62,DC_pDC,DC_cDC1,3,intercellular
63,NK,DC_cDC1,9,intercellular
64,B_preGC,NKT,7,intercellular
65,B_mem,NKT,15,intercellular
66,Macrophages_M1,NKT,21,intercellular
67,DC_cDC1,NKT,7,intercellular
68,NKT,NKT,16,intercellular
69,Mast,NKT,7,intercellular
70,Monocytes,NKT,26,intercellular
71,Endo,NKT,27,intercellular
72,DC_cDC2,NKT,22,intercellular
73,VSMC,NKT,25,intercellular
74,T_CD4+,NKT,13,intercellular
75,ILC,NKT,29,intercellular
76,B_activated,NKT,14,intercellular
77,Macrophages_M2,NKT,22,intercellular
78,DC_pDC,NKT,10,intercellular
79,NK,NKT,18,intercellular
80,B_preGC,Mast,7,intercellular
81,B_mem,Mast,3,intercellular
82,Macrophages_M1,Mast,20,intercellular
83,DC_cDC1,Mast,6,intercellular
84,NKT,Mast,9,intercellular
85,Mast,Mast,5,intercellular
86,Monocytes,Mast,20,intercellular
87,Endo,Mast,27,intercellular
88,DC_cDC2,Mast,18,intercellular
89,VSMC,Mast,19,intercellular
90,T_CD4+,Mast,9,intercellular
91,ILC,Mast,20,intercellular
92,B_activated,Mast,5,intercellular
93,Macrophages_M2,Mast,18,intercellular
94,DC_pDC,Mast,10,intercellular
95,NK,Mast,9,intercellular
96,B_preGC,Monocytes,15,intercellular
97,B_mem,Monocytes,21,intercellular
98,Macrophages_M1,Monocytes,50,intercellular
99,DC_cDC1,Monocytes,17,intercellular
100,NKT,Monocytes,30,intercellular
101,Mast,Monocytes,25,intercellular
102,Monocytes,Monocytes,64,intercellular
103,Endo,Monocytes,67,intercellular
104,DC_cDC2,Monocytes,48,intercellular
105,VSMC,Monocytes,71,intercellular
106,T_CD4+,Monocytes,28,intercellular
107,ILC,Monocytes,55,intercellular
108,B_activated,Monocytes,22,intercellular
109,Macrophages_M2,Monocytes,53,intercellular
110,DC_pDC,Monocytes,23,intercellular
111,NK,Monocytes,33,intercellular
112,B_preGC,Endo,11,intercellular
113,B_mem,Endo,12,intercellular
114,Macrophages_M1,Endo,49,intercellular
115,DC_cDC1,Endo,14,intercellular
116,NKT,Endo,25,intercellular
117,Mast,Endo,17,intercellular
118,Monocytes,Endo,60,intercellular
119,Endo,Endo,97,intercellular
120,DC_cDC2,Endo,39,intercellular
121,VSMC,Endo,79,intercellular
122,T_CD4+,Endo,37,intercellular
123,ILC,Endo,70,intercellular
124,B_activated,Endo,17,intercellular
125,Macrophages_M2,Endo,45,intercellular
126,DC_pDC,Endo,18,intercellular
127,NK,Endo,36,intercellular
128,B_preGC,DC_cDC2,9,intercellular
129,B_mem,DC_cDC2,14,intercellular
130,Macrophages_M1,DC_cDC2,34,intercellular
131,DC_cDC1,DC_cDC2,9,intercellular
132,NKT,DC_cDC2,21,intercellular
133,Mast,DC_cDC2,18,intercellular
134,Monocytes,DC_cDC2,47,intercellular
135,Endo,DC_cDC2,44,intercellular
136,DC_cDC2,DC_cDC2,31,intercellular
137,VSMC,DC_cDC2,46,intercellular
138,T_CD4+,DC_cDC2,22,intercellular
139,ILC,DC_cDC2,38,intercellular
140,B_activated,DC_cDC2,13,intercellular
141,Macrophages_M2,DC_cDC2,34,intercellular
142,DC_pDC,DC_cDC2,15,intercellular
143,NK,DC_cDC2,24,intercellular
144,B_preGC,VSMC,12,intercellular
145,B_mem,VSMC,17,intercellular
146,Macrophages_M1,VSMC,58,intercellular
147,DC_cDC1,VSMC,18,intercellular
148,NKT,VSMC,29,intercellular
149,Mast,VSMC,23,intercellular
150,Monocytes,VSMC,78,intercellular
151,Endo,VSMC,93,intercellular
152,DC_cDC2,VSMC,49,intercellular
153,VSMC,VSMC,96,intercellular
154,T_CD4+,VSMC,44,intercellular
155,ILC,VSMC,88,intercellular
156,B_activated,VSMC,17,intercellular
157,Macrophages_M2,VSMC,57,intercellular
158,DC_pDC,VSMC,22,intercellular
159,NK,VSMC,48,intercellular
160,B_preGC,T_CD4+,5,intercellular
161,B_mem,T_CD4+,9,intercellular
162,Macrophages_M1,T_CD4+,20,intercellular
163,DC_cDC1,T_CD4+,7,intercellular
164,NKT,T_CD4+,14,intercellular
165,Mast,T_CD4+,6,intercellular
166,Monocytes,T_CD4+,21,intercellular
167,Endo,T_CD4+,20,intercellular
168,DC_cDC2,T_CD4+,21,intercellular
169,VSMC,T_CD4+,25,intercellular
170,T_CD4+,T_CD4+,9,intercellular
171,ILC,T_CD4+,26,intercellular
172,B_activated,T_CD4+,13,intercellular
173,Macrophages_M2,T_CD4+,18,intercellular
174,DC_pDC,T_CD4+,7,intercellular
175,NK,T_CD4+,16,intercellular
176,B_preGC,ILC,16,intercellular
177,B_mem,ILC,19,intercellular
178,Macrophages_M1,ILC,39,intercellular
179,DC_cDC1,ILC,13,intercellular
180,NKT,ILC,22,intercellular
181,Mast,ILC,17,intercellular
182,Monocytes,ILC,42,intercellular
183,Endo,ILC,49,intercellular
184,DC_cDC2,ILC,36,intercellular
185,VSMC,ILC,50,intercellular
186,T_CD4+,ILC,18,intercellular
187,ILC,ILC,49,intercellular
188,B_activated,ILC,21,intercellular
189,Macrophages_M2,ILC,41,intercellular
190,DC_pDC,ILC,22,intercellular
191,NK,ILC,28,intercellular
192,B_preGC,B_activated,18,intercellular
193,B_mem,B_activated,24,intercellular
194,Macrophages_M1,B_activated,43,intercellular
195,DC_cDC1,B_activated,18,intercellular
196,NKT,B_activated,27,intercellular
197,Mast,B_activated,22,intercellular
198,Monocytes,B_activated,55,intercellular
199,Endo,B_activated,43,intercellular
200,DC_cDC2,B_activated,54,intercellular
201,VSMC,B_activated,50,intercellular
202,T_CD4+,B_activated,20,intercellular
203,ILC,B_activated,41,intercellular
204,B_activated,B_activated,26,intercellular
205,Macrophages_M2,B_activated,46,intercellular
206,DC_pDC,B_activated,25,intercellular
207,NK,B_activated,36,intercellular
208,B_preGC,Macrophages_M2,11,intercellular
209,B_mem,Macrophages_M2,13,intercellular
210,Macrophages_M1,Macrophages_M2,46,intercellular
211,DC_cDC1,Macrophages_M2,10,intercellular
212,NKT,Macrophages_M2,22,intercellular
213,Mast,Macrophages_M2,20,intercellular
214,Monocytes,Macrophages_M2,55,intercellular
215,Endo,Macrophages_M2,57,intercellular
216,DC_cDC2,Macrophages_M2,37,intercellular
217,VSMC,Macrophages_M2,60,intercellular
218,T_CD4+,Macrophages_M2,22,intercellular
219,ILC,Macrophages_M2,48,intercellular
220,B_activated,Macrophages_M2,14,intercellular
221,Macrophages_M2,Macrophages_M2,44,intercellular
222,DC_pDC,Macrophages_M2,19,intercellular
223,NK,Macrophages_M2,26,intercellular
224,B_preGC,DC_pDC,4,intercellular
225,B_mem,DC_pDC,8,intercellular
226,Macrophages_M1,DC_pDC,15,intercellular
227,DC_cDC1,DC_pDC,5,intercellular
228,NKT,DC_pDC,10,intercellular
229,Mast,DC_pDC,7,intercellular
230,Monocytes,DC_pDC,17,intercellular
231,Endo,DC_pDC,23,intercellular
232,DC_cDC2,DC_pDC,14,intercellular
233,VSMC,DC_pDC,29,intercellular
234,T_CD4+,DC_pDC,8,intercellular
235,ILC,DC_pDC,16,intercellular
236,B_activated,DC_pDC,10,intercellular
237,Macrophages_M2,DC_pDC,17,intercellular
238,DC_pDC,DC_pDC,5,intercellular
239,NK,DC_pDC,12,intercellular
240,B_preGC,NK,9,intercellular
241,B_mem,NK,15,intercellular
242,Macrophages_M1,NK,22,intercellular
243,DC_cDC1,NK,9,intercellular
244,NKT,NK,18,intercellular
245,Mast,NK,11,intercellular
246,Monocytes,NK,28,intercellular
247,Endo,NK,31,intercellular
248,DC_cDC2,NK,26,intercellular
249,VSMC,NK,33,intercellular
250,T_CD4+,NK,13,intercellular
251,ILC,NK,33,intercellular
252,B_activated,NK,18,intercellular
253,Macrophages_M2,NK,24,intercellular
254,DC_pDC,NK,13,intercellular
255,NK,NK,22,intercellular
256,B_preGC,B_preGC,8,intracellular
257,B_mem,B_preGC,0,intracellular
258,Macrophages_M1,B_preGC,0,intracellular
259,DC_cDC1,B_preGC,0,intracellular
260,NKT,B_preGC,0,intracellular
261,Mast,B_preGC,0,intracellular
262,Monocytes,B_preGC,0,intracellular
263,Endo,B_preGC,0,intracellular
