,0
EAF2,1
CSTA,3
PARP9,5
DTX3L,5
PARP15,3
PARP14,5
HACD2,1
MYLK,0
HEG1,0
ZXDC,2
PLXNA1,0
MCM2,1
RPN1,4
HMCES,1
MBD4,3
PLXND1,0
TOPBP1,1
SLCO2A1,0
RBP1,0
PLSCR1,0
CPA3,0
GYG1,4
TM4SF1,0
SELENOT,1
SIAH2,1
MME,1
SSR3,4
RARRES1,0
SMC4,1
TNFSF10,0
NCEH1,0
LAMP3,2
KLHL6,1
KLHL24,2
BCL6,1
LPP,1
OPA1,1
HES1,0
PPP1R2,2
APOD,0
TFRC,1
MELTF,1
SLBP,1
TACC3,1
NSD2,1
SH3BP2,3
SH3TC1,1
CPEB2,0
FAM200B,2
CD38,1
LAP3,1
NCAPG,1
SOD3,0
SEL1L3,3
RELL1,0
TBC1D1,1
KLF3,0
TLR10,3
SMIM14,3
UCHL1,1
DANCR,4
CHIC2,1
KDR,0
PAICS,1
HOPX,1
SPINK2,1
IGFBP7,0
STAP1,3
FDCSP,3
JCHAIN,4
GRSF1,2
MOB1B,1
DCK,1
CXCL1,0
CXCL5,0
CXCL2,0
AREG,0
CXCL9,2
CXCL10,5
CCNG2,3
CXCL13,3
TMEM150C,1
PLAC8,3
SPARCL1,0
SPP1,0
HERC6,5
HERC5,5
GPRIN3,2
MMRN1,0
PDLIM5,0
DAPP1,2
H2AFZ,1
BANK1,3
NFKB1,1
PAPSS1,1
LEF1,2
MCUB,2
CFI,0
GAR1,1
CAMK2D,1
SYNPO2,0
MAD2L1,1
ANXA5,0
CCNA2,1
SPRY1,0
TBC1D9,3
SMAD1,0
TMEM154,3
TMEM131L,1
SFRP2,0
GASK1B,0
MARCH1,3
CPE,0
DDX60,5
DDX60L,5
PALLD,0
HMGB2,1
HPGD,1
IRF2,1
CENPU,1
PDLIM3,0
PDCD6,2
SLC12A7,0
CLPTM1L,4
LPCAT1,3
MRPL36,1
CCT5,1
BASP1,1
MTMR12,1
RAI14,0
IL7R,2
LIFR,0
FYB1,2
DAB2,0
C7,0
SELENOP,0
ITGA1,0
GZMK,2
PLPP1,0
MAP3K1,2
GAPT,3
SREK1IP1,1
CD180,3
CCNB1,1
MRPS36,1
MAP1B,0
ENC1,0
HEXB,0
GCNT4,2
F2R,0
LHFPL2,1
TENT2,2
DHFR,1
SSBP2,1
VCAN,0
MEF2C,3
ARRDC3,2
NR2F1,0
ELL2,4
ST8SIA4,1
MAN2A1,2
SLC25A46,1
CAMK4,2
SRP19,1
SNX2,3
CSNK1G3,1
RAPGEF6,2
IRF1,2
VDAC1,1
TCF7,2
PPP2CA,1
H2AFY,1
CXCL14,3
TGFBI,0
EGR1,0
MZB1,4
ECSCR,0
TMEM173,2
CXXC5,3
HBEGF,0
CD14,0
IK,2
NDFIP1,2
ARHGAP26,2
CSF1R,0
PDGFRB,0
TCOF1,2
GPX3,0
CCDC69,1
GM2A,1
SPARC,0
ATOX1,0
TIMD4,0
ITK,2
ADAM19,3
EBF1,3
PTTG1,1
SLIT3,0
LCP2,2
DUSP1,0
STC2,0
RNF44,2
MXD3,1
RGS14,2
PDLIM7,1
DOK3,3
FAM153A,2
NHP2,1
HNRNPAB,1
FLT4,0
BTNL9,3
DUSP22,2
IRF4,4
GMDS,1
TUBB2A,1
TUBB2B,1
LY86,3
DSP,0
TXNDC5,4
PHACTR1,3
CD83,3
DTNBP1,3
DEK,1
RNF144B,1
ID4,0
ACOT13,2
C6orf62,2
HIST1H4C,2
BTN3A2,2
BTN2A1,2
UBD,0
GABBR1,2
IER3,0
TCF19,1
LST1,0
AIF1,0
C2,0
CFB,0
TNXB,0
HLA-DQA1,3
HLA-DOB,3
TAP2,2
HLA-DMB,3
HLA-DMA,3
HLA-DOA,3
KIFC1,1
ITPR3,2
HMGA1,1
DEF6,2
FKBP5,1
MAPK14,1
STK38,2
CDKN1A,0
CPNE5,3
FGD2,3
PIM1,2
CCDC167,1
TFEB,3
CCND3,2
CUL9,2
ZNF318,3
ABCC10,2
VEGFA,0
PLA2G7,0
ADGRF5,0
TNFRSF21,0
MCM3,1
TRAM2,4
COL12A1,0
HMGN3,1
AKIRIN2,1
RNGTT,1
UBE2J1,1
CASP8AP2,2
BACH2,1
PRDM1,4
CD24,3
SCML4,2
SESN1,2
FYN,2
MARCKS,0
CALHM6,0
MAN1A1,4
GJA1,0
SMPDL3A,1
NCOA7,0
CENPW,1
CCN2,0
STX7,3
VNN2,1
SGK1,0
IFNGR1,0
TNFAIP3,2
ABRACL,1
HECA,2
PLEKHG1,3
AKAP12,0
MYCT1,0
IPCEF1,2
ARID1B,3
EZR,1
SOD2,0
TCP1,1
SLC22A3,0
CCR6,3
THBS2,0
PHF10,2
DLL1,0
NUDT1,1
TTYH3,0
CARD11,2
TNRC18,1
FSCN1,0
KDELR2,4
GLCCI1,4
ICA1,2
TSPAN13,0
CDCA7L,3
IL6,0
GPNMB,0
TRA2A,2
OSBPL3,2
CYCS,1
SKAP2,3
CPVL,0
SCRN1,3
GARS,1
AQP1,0
LSM5,1
FKBP9,0
NT5C3A,5
ELMO1,2
SUGCT,1
PSMA2,1
STK17A,2
AEBP1,0
DDX56,2
ZMIZ2,2
H2AFV,1
MYO1G,2
RAMP3,0
IGFBP3,3
SUMF2,1
PHKG1,2
ZNF107,3
ELN,0
LAT2,3
POR,1
HSPB1,0
FGL2,0
GSAP,3
CD36,0
SRI,1
CDK14,3
AKAP9,2
SAMD9L,5
GNG11,0
COL1A2,0
PDK4,0
SEM1,1
TECPR1,2
TRRAP,2
MAP11,2
STAG3,1
PILRB,2
PPP1R35,2
TSC22D4,2
SAP25,2
PCOLCE,0
SERPINE1,0
CUX1,1
SH2B2,3
ORAI2,3
PSMC2,1
RELN,0
SYPL1,3
NAMPT,0
CCDC71L,0
PIK3CG,1
LAMB1,0
CAV1,0
CAPZA2,1
LSM8,1
FAM3C,3
PODXL,0
CALD1,0
LUC7L2,1
PARP12,5
DENND11,2
TRBC1,2
EPHA1,2
EZH2,1
PDIA4,4
RARRES2,0
AC073111.4,2
GIMAP8,2
GIMAP7,2
GIMAP4,2
GIMAP6,2
GIMAP1,2
GIMAP5,2
TMEM176B,0
TMEM176A,0
NUB1,2
PRKAG2,2
DEFA3,1
BLK,3
FDFT1,1
DLC1,0
LPL,0
ATP6V1B2,1
PPP3CC,2
SORBS3,2
CCAR2,2
EGR3,0
LOXL2,1
ADAM28,3
ADAMDEC1,1
DPYSL2,0
EPHX2,1
CLU,3
SCARA3,3
PBK,1
NUGGC,1
SARAF,2
LEPROTL1,2
AC026979.2,2
PLPP5,4
PLEKHA2,3
IDO1,2
TCIM,0
IKBKB,2
CEBPD,0
MCM4,1
TCEA1,1
LYPLA1,1
LYN,3
TOX,1
YTHDF3,2
MYBL1,1
TPD52,3
PAG1,1
FABP5,1
E2F5,1
