LYN	CD79B	post_translational
CD79B	SYK	post_translational
SYK	CD79B	post_translational
BTK	PLCG2	post_translational
LYN	BTK	post_translational
BTK	LYN	post_translational
LYN	CD19	post_translational
CD19	LYN	post_translational
LYN	CD79A	post_translational
SYK	CD79A	post_translational
LYN	CD22	post_translational
BTK	PIK3AP1	post_translational
SYK	PIK3AP1	post_translational
LYN	SYK	post_translational
SYK	LYN	post_translational
SYK	BLNK	post_translational
BLNK	SYK	post_translational
SYK	SH3BP2	post_translational
PAX5	CD19	post_translational
PAX5	CD79A	post_translational
PAX5	BLK	post_translational
LYN	PLCG2	post_translational
SYK	VAV2	post_translational
VAV2	SYK	post_translational
BTK	BLNK	post_translational
BLNK	BTK	post_translational
CR2	CD19	post_translational
BTK	CD19	post_translational
BLNK	PLCG2	post_translational
SYK	PLCG2	post_translational
LYN	BANK1	post_translational
CD22	SYK	post_translational
SYK	CD22	post_translational
SMAD3	MEF2C	post_translational
ALOX5	ALOX5AP	post_translational
ALOX5AP	ALOX5	post_translational
CXCL13	CXCR5	post_translational
SH2B2	VAV2	post_translational
LYN	DOK3	post_translational
LYN	FCGR2B	post_translational
POU2AF1	POU2F2	post_translational
SYK	PAX5	post_translational
SYK	BTK	post_translational
BTK	SYK	post_translational
CD24	SIGLEC10	post_translational
FCER2	CR2	post_translational
LY86	CD180	post_translational
MS4A1	CD82	post_translational
SYK	LAT2	post_translational
BLK	FCGR2B	post_translational
BLK	CD79A	post_translational
LYN	CD72	post_translational
BLK	CD79B	post_translational
LYL1	TCF3	post_translational
LYN	CD24	post_translational
LYN	SKAP2	post_translational
LYN	SH2B2	post_translational
BLK	PLCG2	post_translational
BTK	SH2B2	post_translational
SYK	SH2B2	post_translational
SYK	CD19	post_translational
CD19	VAV2	post_translational
VAV2	CD19	post_translational
LYN	LAT2	post_translational
CD40	BTK	post_translational
CD40	PLCG2	post_translational
SYK	SWAP70	post_translational
BLK	BANK1	post_translational
GRK3	CCR6	post_translational
CXCL13	CCR6	post_translational
LYN	VAV2	post_translational
LYN	BLNK	post_translational
BLNK	PIK3AP1	post_translational
CD22	CR2	post_translational
SERPINA3	APLP2	post_translational
SH2B2	RHOQ	post_translational
BTK	SMAD3	post_translational
BLNK	VAV2	post_translational
VCAM1	CYBB	post_translational
NEK8	SMAD3	post_translational
CD19	CD83	post_translational
LYN	PIK3AP1	post_translational
VAV2	PIK3AP1	post_translational
CD40	CD83	post_translational
BLK	VAV2	post_translational
GRK3	CXCR5	post_translational
CR2	CD83	post_translational
PLCG2	PIK3AP1	post_translational
PLCG2	VAV2	post_translational
VAV2	PLCG2	post_translational
PAX5	CD79A	transcriptional
PAX5	BLK	transcriptional
EBF1	CD19	transcriptional
EBF1	CD79A	transcriptional
SPIB	CD40	transcriptional
PAX5	CD19	transcriptional
PAX5	BLNK	transcriptional
POU2F2	HLA-DOB	transcriptional
PAX5	SPIB	transcriptional
EBF1	CD79B	transcriptional
TCF3	CR2	transcriptional
PAX5	FCER2	transcriptional
POU2F2	SPIB	transcriptional
BCL11A	BLK	transcriptional
BCL11A	CIITA	transcriptional
BCL11A	IKZF3	transcriptional
BCL11A	IL21R	transcriptional
BCL11A	MEF2C	transcriptional
BCL11A	PLCG2	transcriptional
BCL11A	POU2F2	transcriptional
BCL11A	TPD52	transcriptional
EBF1	BLNK	transcriptional
EBF1	CBFA2T3	transcriptional
EBF1	CD82	transcriptional
EBF1	CIITA	transcriptional
EBF1	DENND3	transcriptional
EBF1	LAT2	transcriptional
EBF1	MKNK2	transcriptional
EBF1	PIK3AP1	transcriptional
EBF1	PLCG2	transcriptional
EBF1	POU2F2	transcriptional
LYL1	CBFA2T3	transcriptional
MEF2C	CIITA	transcriptional
MEF2C	FCER2	transcriptional
MEF2C	FCRL5	transcriptional
MEF2C	IKZF3	transcriptional
MEF2C	IL21R	transcriptional
MEF2C	PLCG2	transcriptional
MEF2C	TCF4	transcriptional
PAX5	CD22	transcriptional
PAX5	CIITA	transcriptional
PAX5	IL21R	transcriptional
PAX5	PIK3AP1	transcriptional
PAX5	PLCG2	transcriptional
PAX5	POU2F2	transcriptional
PAX5	TFEB	transcriptional
PAX5	TRAK1	transcriptional
POU2F2	CD22	transcriptional
POU2F2	CD79A	transcriptional
POU2F2	CIITA	transcriptional
POU2F2	IL21R	transcriptional
POU2F2	LYN	transcriptional
POU2F2	PLCG2	transcriptional
POU2F2	POU2AF1	transcriptional
POU2F2	SEMA7A	transcriptional
POU2F2	TPD52	transcriptional
TCF4	SMAD3	transcriptional
BCL11A	SPIB	transcriptional
EBF1	SPIB	transcriptional
MEF2C	SPIB	transcriptional
TCF3	CIITA	transcriptional
TCF3	VAV2	transcriptional
BCL11A	ALOX5AP	transcriptional
BCL11A	APLP2	transcriptional
BCL11A	BCL2A1	transcriptional
BCL11A	RUBCNL	transcriptional
BCL11A	CD19	transcriptional
BCL11A	CD79A	transcriptional
BCL11A	CD79B	transcriptional
BCL11A	CPNE5	transcriptional
BCL11A	CYB561A3	transcriptional
BCL11A	NIBAN3	transcriptional
BCL11A	FCER2	transcriptional
BCL11A	FGD2	transcriptional
BCL11A	HLA-DMA	transcriptional
BCL11A	HLA-DMB	transcriptional
BCL11A	HLA-DQA1	transcriptional
BCL11A	HSH2D	transcriptional
BCL11A	HVCN1	transcriptional
BCL11A	LY86	transcriptional
BCL11A	MS4A1	transcriptional
BCL11A	MYO1B	transcriptional
BCL11A	SLC2A5	transcriptional
BCL11A	ST14	transcriptional
BCL11A	STAP1	transcriptional
BCL11A	TLR10	transcriptional
BCL11A	TMEM119	transcriptional
EBF1	ALOX5AP	transcriptional
EBF1	APLP2	transcriptional
EBF1	BCL2A1	transcriptional
EBF1	RUBCNL	transcriptional
EBF1	CD22	transcriptional
EBF1	CHI3L2	transcriptional
EBF1	CPNE5	transcriptional
EBF1	CYB561A3	transcriptional
EBF1	DRAM2	transcriptional
EBF1	NIBAN3	transcriptional
EBF1	FCER2	transcriptional
EBF1	HLA-DMA	transcriptional
EBF1	HLA-DMB	transcriptional
EBF1	HLA-DQA1	transcriptional
EBF1	HSH2D	transcriptional
EBF1	HVCN1	transcriptional
EBF1	IKZF3	transcriptional
EBF1	LY86	transcriptional
EBF1	MS4A1	transcriptional
EBF1	TLR10	transcriptional
EBF1	TMEM154	transcriptional
EBF1	TNFRSF13C	transcriptional
MEF2C	ALOX5AP	transcriptional
MEF2C	APLP2	transcriptional
MEF2C	RUBCNL	transcriptional
MEF2C	CD22	transcriptional
MEF2C	CYB561A3	transcriptional
MEF2C	NIBAN3	transcriptional
MEF2C	FCRL2	transcriptional
MEF2C	HSH2D	transcriptional
MEF2C	HVCN1	transcriptional
MEF2C	MS4A1	transcriptional
MEF2C	MYO1B	transcriptional
MEF2C	SEMA7A	transcriptional
MEF2C	SLC2A5	transcriptional
MEF2C	ST14	transcriptional
MEF2C	TLR10	transcriptional
MEF2C	TMEM154	transcriptional
PAX5	BCL2A1	transcriptional
PAX5	RUBCNL	transcriptional
PAX5	CPNE5	transcriptional
PAX5	CSTA	transcriptional
PAX5	CYB561A3	transcriptional
PAX5	NIBAN3	transcriptional
PAX5	FGD2	transcriptional
PAX5	HLA-DMA	transcriptional
PAX5	HLA-DMB	transcriptional
PAX5	HLA-DQA1	transcriptional
PAX5	HSH2D	transcriptional
