STAT1	FAS	post_translational
IKBKB	MAP3K14	post_translational
MAP3K14	IKBKB	post_translational
IKBKB	TNFAIP3	post_translational
TNFAIP3	IKBKB	post_translational
CARD16	CASP1	post_translational
STAT1	CDKN1B	post_translational
STAT1	IRF1	post_translational
LCK	LIME1	post_translational
STAT1	CASP1	post_translational
LCK	CD247	post_translational
FYN	CD247	post_translational
FYN	CTLA4	post_translational
LCK	CTLA4	post_translational
LCK	ZAP70	post_translational
ZAP70	LCK	post_translational
LCK	VAV1	post_translational
FYN	LCP2	post_translational
FYN	FYB1	post_translational
ITK	LAT	post_translational
LCK	LCP2	post_translational
ZAP70	LCP2	post_translational
FYN	WAS	post_translational
ITK	PLCG1	post_translational
PTPN2	STAT1	post_translational
LCK	IL2RB	post_translational
IL2RB	LCK	post_translational
TNFAIP3	TRADD	post_translational
CDKN1B	CCND3	post_translational
CD3G	CD3E	post_translational
CD8A	LCK	post_translational
LCK	CD8A	post_translational
CD247	ZAP70	post_translational
ZAP70	CD247	post_translational
CARD11	MALT1	post_translational
FYN	ZAP70	post_translational
LCK	SH2D2A	post_translational
SH2D2A	LCK	post_translational
LCP2	PLCG1	post_translational
IL2RB	STAT1	post_translational
LAT	PLCG1	post_translational
PLCG1	LAT	post_translational
TRADD	TRAF1	post_translational
ZAP70	PLCG1	post_translational
ITK	LCP2	post_translational
LAT	GRAP2	post_translational
CD28	GRAP2	post_translational
ZAP70	DEF6	post_translational
CD8A	LAT	post_translational
CD3E	ZAP70	post_translational
ZAP70	CD3E	post_translational
ZAP70	CD5	post_translational
ZAP70	SLA	post_translational
FYN	IL7R	post_translational
IL7R	FYN	post_translational
CD28	VAV1	post_translational
STAT1	IRF9	post_translational
STAT2	IRF9	post_translational
IRF9	STAT2	post_translational
CD3D	CD3E	post_translational
GRAP2	LCP2	post_translational
ZAP70	LAT	post_translational
LCK	ITK	post_translational
ITK	LCK	post_translational
CCL19	CCR7	post_translational
TCF7	LEF1	post_translational
PRKCA	TIAM1	post_translational
TIAM1	PRKCA	post_translational
PRKCA	NFASC	post_translational
LCK	PLCG1	post_translational
FYN	PLCG1	post_translational
PLCG1	FYN	post_translational
ATM	IKBKB	post_translational
IKBKB	MAP3K1	post_translational
MAP3K1	IKBKB	post_translational
CASP4	CASP1	post_translational
STAT2	STAT1	post_translational
PRKCA	CD5	post_translational
ATM	PPP1R2	post_translational
PIM1	CDKN1B	post_translational
LCK	DEF6	post_translational
FYN	CD5	post_translational
LCK	CD5	post_translational
LCK	CD3G	post_translational
LCK	CD3E	post_translational
FYN	LAT	post_translational
LCK	LAT	post_translational
ATM	CCAR2	post_translational
PRKCA	ITPKB	post_translational
LCK	CD3D	post_translational
LCK	CD28	post_translational
CD28	LCK	post_translational
IFNAR2	IRF9	post_translational
IRF9	IFNAR2	post_translational
LCK	DAPP1	post_translational
STK38	AAK1	post_translational
PRKCA	LCK	post_translational
IKBKB	CYLD	post_translational
CASP4	GSDMD	post_translational
PRKCA	DGKZ	post_translational
CASP1	GSDMD	post_translational
PTPN2	FYN	post_translational
LCK	FOXP3	post_translational
FYN	RPS6KA3	post_translational
FYN	PRKCA	post_translational
PRKCA	FYN	post_translational
FYN	PXN	post_translational
PXN	FYN	post_translational
FYN	SPN	post_translational
CD5	TNFRSF25	post_translational
FYN	CD3E	post_translational
PRKCA	PIM1	post_translational
ITK	DEF6	post_translational
ATM	APBB1	post_translational
PRKCA	SPN	post_translational
PRKCA	SLC9A3R1	post_translational
LCK	TIGIT	post_translational
PRKCA	SATB1	post_translational
PRKCA	KCNAB2	post_translational
ATM	MLLT1	post_translational
ATM	SMURF2	post_translational
PRKCA	BCL11B	post_translational
PIM1	FOXP3	post_translational
FYN	PTPRJ	post_translational
PTPRJ	FYN	post_translational
FYN	CD2	post_translational
LCK	WAS	post_translational
LCK	STAT1	post_translational
ATM	ABLIM1	post_translational
ATM	LAT	post_translational
ATM	TPR	post_translational
FYN	CD3G	post_translational
LCK	FYN	post_translational
FYN	LCK	post_translational
FYN	LPXN	post_translational
LCK	FYB1	post_translational
LCK	ITSN2	post_translational
LCK	PSTPIP1	post_translational
PRKCA	ABLIM1	post_translational
PRKCA	CDC25B	post_translational
PRKCA	CDKN1B	post_translational
PRKCA	PASK	post_translational
PRKCA	RBL2	post_translational
RPS6KA3	RPS6KA1	post_translational
RPS6KA1	RPS6KA3	post_translational
RPS6KA3	ABLIM1	post_translational
RPS6KA3	ARHGEF2	post_translational
RPS6KA3	CDKN1B	post_translational
RPS6KA3	FNBP4	post_translational
RPS6KA3	IFNAR2	post_translational
RPS6KA3	LCP2	post_translational
RPS6KA3	PDE3B	post_translational
