BACE2	APP	post_translational
ADAM10	APP	post_translational
DAPK1	TPM1	post_translational
MYC	CDKN1A	post_translational
CDKN1A	MYC	post_translational
TGFBR2	ENG	post_translational
EGR1	DUSP1	post_translational
CSF1R	CSF1	post_translational
CSF1	CSF1R	post_translational
EGR1	ID3	post_translational
EGR1	CDKN1A	post_translational
CEBPB	LBP	post_translational
JAG1	NOTCH3	post_translational
NOTCH3	JAG1	post_translational
PLSCR1	SHC1	post_translational
TGFB3	TGFBR2	post_translational
TGFBR2	TGFB3	post_translational
CSF2RB	SHC1	post_translational
TGFBR2	DAB2	post_translational
DAB2	TGFBR2	post_translational
TGFBR2	SHC1	post_translational
NR4A1	NR2F2	post_translational
NR4A2	NR4A3	post_translational
NR4A3	NR4A2	post_translational
CSF1	CSF2RA	post_translational
CSF3	CSF2RA	post_translational
CAV1	PDGFRB	post_translational
KDR	ANXA5	post_translational
KDR	SHC1	post_translational
FLT4	SHC1	post_translational
NR4A1	NR2F1	post_translational
NR4A1	NR4A2	post_translational
NR4A2	NR4A1	post_translational
NR4A1	NR4A3	post_translational
NR4A3	NR4A1	post_translational
FGR	SHC1	post_translational
HCK	SHC1	post_translational
CSF3	CSF1R	post_translational
CSF3	CSF2RB	post_translational
VEGFA	KDR	post_translational
KDR	VEGFA	post_translational
RBP1	SHC1	post_translational
FN1	ITGB1	post_translational
DPYSL2	TUBA1A	post_translational
RELN	ITGB1	post_translational
COL1A1	ITGB1	post_translational
LBP	CD14	post_translational
SOCS3	IFNGR1	post_translational
CTSD	APP	post_translational
SGK1	NDRG2	post_translational
PLAU	PLAUR	post_translational
PLAUR	PLAU	post_translational
MMP2	DCN	post_translational
ICAM1	ITGAX	post_translational
FN1	SDC4	post_translational
A2M	MMP2	post_translational
MMP2	A2M	post_translational
A2M	MMP9	post_translational
MMP9	A2M	post_translational
ICAM1	ITGAM	post_translational
ITGAM	ICAM1	post_translational
MYLK	MYL9	post_translational
MYLK	CALD1	post_translational
GRN	TNFRSF1A	post_translational
CTSG	C3	post_translational
CFH	C3	post_translational
ITGB1	SHC1	post_translational
LRP1	SHC1	post_translational
ITGB1	CD151	post_translational
ITGA5	ENG	post_translational
ITGB1	ENG	post_translational
CCL14	ACKR1	post_translational
CXCL1	ACKR1	post_translational
CXCL2	ACKR1	post_translational
VEGFA	NRP1	post_translational
GRN	CLEC4M	post_translational
LGALS1	ITGB1	post_translational
LAMB1	ITGB1	post_translational
SERPINE1	PLAUR	post_translational
TGFB3	ENG	post_translational
TGFB3	ITGB1	post_translational
C3	ITGAM	post_translational
C3	ITGAX	post_translational
C3	ADRA2A	post_translational
LAMC1	ITGB1	post_translational
THBS1	ITGB1	post_translational
THBS1	TNFRSF11B	post_translational
THBS1	CD36	post_translational
CD36	THBS1	post_translational
ADAM10	GPNMB	post_translational
VWF	STAB2	post_translational
VWF	SELP	post_translational
TIMP2	ITGB1	post_translational
ICAM1	CAV1	post_translational
ICAM1	IL2RA	post_translational
VCAN	ITGB1	post_translational
TNC	ITGA5	post_translational
TNC	ITGB1	post_translational
TNC	SDC4	post_translational
LUM	ITGB1	post_translational
APP	TNFRSF21	post_translational
COL6A3	ITGB1	post_translational
CXCL5	ACKR1	post_translational
COL1A2	ITGB1	post_translational
COL6A2	ITGB1	post_translational
CD14	ITGB1	post_translational
COL3A1	ITGB1	post_translational
FBLN1	ITGB1	post_translational
FN1	C5AR1	post_translational
COL18A1	ITGB1	post_translational
COL6A1	ITGB1	post_translational
TGM2	ITGB1	post_translational
THBS2	ITGB1	post_translational
S100A9	CD36	post_translational
MMP9	ITGAM	post_translational
PLAU	ITGB1	post_translational
HSPG2	ITGB1	post_translational
COL4A1	ITGB1	post_translational
SPP1	ITGB1	post_translational
CXCL12	ITGB1	post_translational
RTN4	NGFR	post_translational
A2M	LRP1	post_translational
MMP9	LRP1	post_translational
C3	LRP1	post_translational
THBS1	LRP1	post_translational
C1QB	LRP1	post_translational
CCN2	LRP1	post_translational
COL4A2	CD93	post_translational
COL4A1	CD93	post_translational
C1QA	CD93	post_translational
S100A9	CD68	post_translational
S100A8	CD68	post_translational
SERPING1	SELP	post_translational
KDR	COL18A1	post_translational
COL18A1	KDR	post_translational
FGF7	NRP1	post_translational
CXCL5	ADRA2A	post_translational
