BACE2	APP	post_translational	B_IFN,B_naive,B_activated,B_mem,Endo,FDC	B_naive,B_activated,B_preGC,T_CD4+_TfH,ILC,DC_pDC,Endo,FDC,VSMC
ADAM10	APP	post_translational	T_CD4+_TfH_GC,T_Treg,T_TfR,ILC	B_naive,B_activated,B_preGC,T_CD4+_TfH,ILC,DC_pDC,Endo,FDC,VSMC
DAPK1	TPM1	post_translational	B_plasma,DC_pDC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Mast,FDC	Endo,FDC,VSMC
MYC	CDKN1A	post_translational	B_IFN,B_naive,B_activated,B_preGC,B_mem,T_CD4+_TfH	B_activated,B_preGC,B_mem,ILC,DC_pDC,DC_cDC2,DC_CCR7+,Monocytes,Endo,VSMC
CDKN1A	MYC	post_translational	B_activated,B_preGC,B_mem,ILC,DC_pDC,DC_cDC2,DC_CCR7+,Monocytes,Endo,VSMC	B_IFN,B_naive,B_activated,B_preGC,B_mem,T_CD4+_TfH
TGFBR2	ENG	post_translational	B_activated,T_CD4+_naive,T_CD8+_naive,Endo,VSMC	ILC,Macrophages_M1,Endo,VSMC
EGR1	DUSP1	post_translational	B_activated,NKT,NK,ILC,Monocytes,Mast,Endo,FDC,VSMC	B_activated,B_mem,T_CD4+,T_CD4+_TfH,T_Treg,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK,ILC,Monocytes,Endo
CSF1R	CSF1	post_translational	DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2	T_CD4+_TfH,T_TfR,T_CD8+_cytotoxic,Mast,VSMC
CSF1	CSF1R	post_translational	T_CD4+_TfH,T_TfR,T_CD8+_cytotoxic,Mast,VSMC	DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2
EGR1	ID3	post_translational	B_activated,NKT,NK,ILC,Monocytes,Mast,Endo,FDC,VSMC	B_IFN,B_naive,B_activated,B_preGC,B_mem,T_CD4+_TfH_GC,T_Treg,Endo,VSMC
EGR1	CDKN1A	post_translational	B_activated,NKT,NK,ILC,Monocytes,Mast,Endo,FDC,VSMC	B_activated,B_preGC,B_mem,ILC,DC_pDC,DC_cDC2,DC_CCR7+,Monocytes,Endo,VSMC
JAG1	NOTCH3	post_translational	ILC,DC_CCR7+,Endo,VSMC	DC_pDC,Macrophages_M2,VSMC
NOTCH3	JAG1	post_translational	DC_pDC,Macrophages_M2,VSMC	ILC,DC_CCR7+,Endo,VSMC
PLSCR1	SHC1	post_translational	B_IFN,T_CD4+_TfH_GC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Mast,Endo,FDC,VSMC	B_plasma,Endo
CSF2RB	SHC1	post_translational	B_GC_LZ,B_GC_prePB,B_plasma,DC_pDC,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Mast,Endo,FDC	B_plasma,Endo
TGFBR2	DAB2	post_translational	B_activated,T_CD4+_naive,T_CD8+_naive,Endo,VSMC	NK,DC_pDC,Monocytes,Macrophages_M1,Macrophages_M2,Endo,VSMC
DAB2	TGFBR2	post_translational	NK,DC_pDC,Monocytes,Macrophages_M1,Macrophages_M2,Endo,VSMC	B_activated,T_CD4+_naive,T_CD8+_naive,Endo,VSMC
TGFBR2	SHC1	post_translational	B_activated,T_CD4+_naive,T_CD8+_naive,Endo,VSMC	B_plasma,Endo
NR4A1	NR2F2	post_translational	B_IFN,B_activated,B_mem,T_CD8+_naive,NKT,NK,ILC,DC_cDC2,Monocytes,VSMC	Endo,FDC,VSMC
NR4A2	NR4A3	post_translational	B_IFN,B_activated,B_mem,T_CD4+,T_CD4+_TfH,T_Treg,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK,ILC	B_activated,B_mem,T_CD4+,T_CD8+_cytotoxic,T_CD8+_CD161+,NK,ILC,DC_pDC,DC_cDC2,Monocytes
NR4A3	NR4A2	post_translational	B_activated,B_mem,T_CD4+,T_CD8+_cytotoxic,T_CD8+_CD161+,NK,ILC,DC_pDC,DC_cDC2,Monocytes	B_IFN,B_activated,B_mem,T_CD4+,T_CD4+_TfH,T_Treg,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK,ILC
CSF1	CSF2RA	post_translational	T_CD4+_TfH,T_TfR,T_CD8+_cytotoxic,Mast,VSMC	DC_pDC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,FDC
CAV1	PDGFRB	post_translational	B_plasma,T_CD4+_TfH_GC,T_TIM3+,Endo,VSMC	FDC,VSMC
KDR	ANXA5	post_translational	Endo	B_Cycling,B_plasma,T_CD4+,T_TIM3+,T_CD8+_cytotoxic,NKT,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Mast,Endo,FDC,VSMC
KDR	SHC1	post_translational	Endo	B_plasma,Endo
FLT4	SHC1	post_translational	T_Treg,NKT,Endo	B_plasma,Endo
NR4A1	NR4A2	post_translational	B_IFN,B_activated,B_mem,T_CD8+_naive,NKT,NK,ILC,DC_cDC2,Monocytes,VSMC	B_IFN,B_activated,B_mem,T_CD4+,T_CD4+_TfH,T_Treg,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK,ILC
NR4A2	NR4A1	post_translational	B_IFN,B_activated,B_mem,T_CD4+,T_CD4+_TfH,T_Treg,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK,ILC	B_IFN,B_activated,B_mem,T_CD8+_naive,NKT,NK,ILC,DC_cDC2,Monocytes,VSMC
NR4A1	NR4A3	post_translational	B_IFN,B_activated,B_mem,T_CD8+_naive,NKT,NK,ILC,DC_cDC2,Monocytes,VSMC	B_activated,B_mem,T_CD4+,T_CD8+_cytotoxic,T_CD8+_CD161+,NK,ILC,DC_pDC,DC_cDC2,Monocytes
NR4A3	NR4A1	post_translational	B_activated,B_mem,T_CD4+,T_CD8+_cytotoxic,T_CD8+_CD161+,NK,ILC,DC_pDC,DC_cDC2,Monocytes	B_IFN,B_activated,B_mem,T_CD8+_naive,NKT,NK,ILC,DC_cDC2,Monocytes,VSMC
FGR	SHC1	post_translational	B_naive,B_activated,T_CD8+_cytotoxic,NK,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1	B_plasma,Endo
HCK	SHC1	post_translational	B_mem,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,FDC	B_plasma,Endo
VEGFA	KDR	post_translational	B_plasma,ILC,DC_CCR7+,Monocytes,FDC,VSMC	Endo
KDR	VEGFA	post_translational	Endo	B_plasma,ILC,DC_CCR7+,Monocytes,FDC,VSMC
RBP1	SHC1	post_translational	Endo,FDC	B_plasma,Endo
FN1	ITGB1	post_translational	FDC,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
DPYSL2	TUBA1A	post_translational	DC_pDC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Endo,FDC,VSMC	B_IFN,B_activated,B_mem,T_CD4+,T_CD4+_TfH,T_Treg,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,ILC,DC_CCR7+,Mast,VSMC
COL1A1	ITGB1	post_translational	FDC,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
SOCS3	IFNGR1	post_translational	T_CD4+,T_CD4+_TfH,T_Treg,T_CD4+_naive,T_CD8+_naive,T_CD8+_CD161+,NKT,Monocytes	B_IFN,B_naive,B_activated,B_preGC,B_mem,T_CD8+_cytotoxic,NKT,NK,ILC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Endo
CTSD	APP	post_translational	T_CD4+,T_CD4+_TfH,T_Treg,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,NK,ILC,DC_pDC,Monocytes,Macrophages_M1,Macrophages_M2,Mast,Endo,VSMC	B_naive,B_activated,B_preGC,T_CD4+_TfH,ILC,DC_pDC,Endo,FDC,VSMC
SGK1	NDRG2	post_translational	B_GC_LZ,B_GC_DZ,T_CD4+_naive,T_CD8+_naive,DC_cDC2,Monocytes,Macrophages_M1,Mast	T_CD8+_naive,DC_cDC1,DC_cDC2,Macrophages_M1,Mast,Endo,VSMC
PLAU	PLAUR	post_translational	DC_cDC2,DC_CCR7+,Macrophages_M1,Macrophages_M2,VSMC	T_CD4+,ILC,DC_pDC,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Mast
PLAUR	PLAU	post_translational	T_CD4+,ILC,DC_pDC,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Mast	DC_cDC2,DC_CCR7+,Macrophages_M1,Macrophages_M2,VSMC
MMP2	DCN	post_translational	FDC,VSMC	VSMC
