	Source	Target	Weight
0	DC_CCR7+	DC_CCR7+	1
1	T_TfR	DC_CCR7+	0
2	T_Treg	DC_CCR7+	0
3	T_CD4+_naive	DC_CCR7+	0
4	T_CD8+_naive	DC_CCR7+	0
5	T_TIM3+	DC_CCR7+	0
6	T_CD8+_cytotoxic	DC_CCR7+	0
7	T_CD4+_TfH	DC_CCR7+	0
8	T_CD8+_CD161+	DC_CCR7+	0
9	DC_CCR7+	T_TfR	0
10	T_TfR	T_TfR	103
11	T_Treg	T_TfR	0
12	T_CD4+_naive	T_TfR	0
13	T_CD8+_naive	T_TfR	0
14	T_TIM3+	T_TfR	0
15	T_CD8+_cytotoxic	T_TfR	0
16	T_CD4+_TfH	T_TfR	0
17	T_CD8+_CD161+	T_TfR	0
18	DC_CCR7+	T_Treg	0
19	T_TfR	T_Treg	0
20	T_Treg	T_Treg	117
21	T_CD4+_naive	T_Treg	0
22	T_CD8+_naive	T_Treg	0
23	T_TIM3+	T_Treg	0
24	T_CD8+_cytotoxic	T_Treg	0
25	T_CD4+_TfH	T_Treg	0
26	T_CD8+_CD161+	T_Treg	0
27	DC_CCR7+	T_CD4+_naive	0
28	T_TfR	T_CD4+_naive	0
29	T_Treg	T_CD4+_naive	0
30	T_CD4+_naive	T_CD4+_naive	27
31	T_CD8+_naive	T_CD4+_naive	0
32	T_TIM3+	T_CD4+_naive	0
33	T_CD8+_cytotoxic	T_CD4+_naive	0
34	T_CD4+_TfH	T_CD4+_naive	0
35	T_CD8+_CD161+	T_CD4+_naive	0
36	DC_CCR7+	T_CD8+_naive	0
37	T_TfR	T_CD8+_naive	0
38	T_Treg	T_CD8+_naive	0
39	T_CD4+_naive	T_CD8+_naive	0
40	T_CD8+_naive	T_CD8+_naive	28
41	T_TIM3+	T_CD8+_naive	0
42	T_CD8+_cytotoxic	T_CD8+_naive	0
43	T_CD4+_TfH	T_CD8+_naive	0
44	T_CD8+_CD161+	T_CD8+_naive	0
45	DC_CCR7+	T_TIM3+	0
46	T_TfR	T_TIM3+	0
47	T_Treg	T_TIM3+	0
48	T_CD4+_naive	T_TIM3+	0
49	T_CD8+_naive	T_TIM3+	0
50	T_TIM3+	T_TIM3+	18
51	T_CD8+_cytotoxic	T_TIM3+	0
52	T_CD4+_TfH	T_TIM3+	0
53	T_CD8+_CD161+	T_TIM3+	0
54	DC_CCR7+	T_CD8+_cytotoxic	0
55	T_TfR	T_CD8+_cytotoxic	0
56	T_Treg	T_CD8+_cytotoxic	0
57	T_CD4+_naive	T_CD8+_cytotoxic	0
58	T_CD8+_naive	T_CD8+_cytotoxic	0
59	T_TIM3+	T_CD8+_cytotoxic	0
60	T_CD8+_cytotoxic	T_CD8+_cytotoxic	35
61	T_CD4+_TfH	T_CD8+_cytotoxic	0
62	T_CD8+_CD161+	T_CD8+_cytotoxic	0
63	DC_CCR7+	T_CD4+_TfH	0
64	T_TfR	T_CD4+_TfH	0
65	T_Treg	T_CD4+_TfH	0
66	T_CD4+_naive	T_CD4+_TfH	0
67	T_CD8+_naive	T_CD4+_TfH	0
68	T_TIM3+	T_CD4+_TfH	0
69	T_CD8+_cytotoxic	T_CD4+_TfH	0
70	T_CD4+_TfH	T_CD4+_TfH	5
71	T_CD8+_CD161+	T_CD4+_TfH	0
72	DC_CCR7+	T_CD8+_CD161+	0
73	T_TfR	T_CD8+_CD161+	0
74	T_Treg	T_CD8+_CD161+	0
75	T_CD4+_naive	T_CD8+_CD161+	0
76	T_CD8+_naive	T_CD8+_CD161+	0
77	T_TIM3+	T_CD8+_CD161+	0
78	T_CD8+_cytotoxic	T_CD8+_CD161+	0
79	T_CD4+_TfH	T_CD8+_CD161+	0
80	T_CD8+_CD161+	T_CD8+_CD161+	8
